review,rating,label
the headphone come good sound surround great bass wont regret battery long last even u expected comfortable wear im recommended guy big headit tight pain wear headphone small size especially made young mic little bad use via bluetooth sound like radio sometimes listen everything without missing single word well ok using wired cable read more,5,1
it gudread more,5,1
gud design gud qualityread more,5,1
fast delvery super sound quality im happy ur product thank u flipkartread more,5,1
i love the sound quality awesomeread more,5,1
very good sound quality price rangeread more,5,1
good worth cost i bought 999 amazingread more,5,1
sound quality excellent try buy shell periodread more,5,1
nice n decent quality according sound n build comfortable wise good product price range purchased offer one go thisread more,5,1
this reasonable head phone great battery pretty sound make happy proud purchasethank boat amazing headphoneread more,5,1
osom vaiiii good product really nice soundbolar vas neiii eto valoread more,5,1
it everything search good headphone sound really good melodious bass good fitting it hurt start day adjusts automatically i dont know worth money i believe it charge fast run long also provides great comfortread more,5,1
superbread more,5,1
amazing sound quality everyone thing fantastic i like thank flipkartread more,5,1
best product sound goodread more,5,1
it goodread more,5,1
great product nice productread more,5,1
awesome product good sound quality sleak designread more,5,1
osm read more,5,1
so good headphone value money love thankyouread more,5,1
nice product best bass best battery back andi love itsatisfied productread more,5,1
sound quality good connected bluetooth one side working properlylow bassread more,5,1
nice wireless headphone worth money good battery back upread more,5,1
good avregeread more,5,1
the volume bass unbelievableread more,5,1
sound quality superb read more,5,1
nice product sound quality superbread more,5,1
superb soundsread more,5,1
purchased may2017 1 year in avg use charge week battery last 56 hr now paid 700 range still havent found headphone wellthese perfect value money build quality par sound deep pleasant bluetooth connection easy fast strong range good on io device battery also visible dont forget also use aux just go for it aread more,5,1
boat headphone best sound bass excellentread more,5,1
the headphone good simply amazing bass damn good vocal filtered clear well good deal priceread more,5,1
it good sound quality good product easy connect bluetooth i prefer buy itread more,5,1
it awesome product i used 10 day charged 3 time till good sound quality battery backupi would recommend would use max 23 hr day u use ear get pain ear headphone ear covered use long would painful based ln usage buy i strongly recommend itread more,5,1
sound quality promising 1500 budgetif want ityou loose wallet otherwise valuable money productsound quality quite goodbass goodand fit head u really cant put 1 2 hour becoz u start getting headache bluetooth range average sound start fluctuating go beyond 5 metresoverall i impressed buy special sale r 1000read more,5,1
1 numberread more,5,1
good headphone price rangeread more,5,1
i bought used 1 month simply perfect nothing else sayread more,5,1
it superb product best cost 1499 much comfortable niceread more,5,1
there better product low price i love using buy without doubt i seen lack till full quality well good sound jay hind read more,5,1
one best product dont think go wait nice deal 999read more,5,1
best headphone reasonable priceread more,5,1
best bass sounding i like itread more,5,1
awesome prodect got 999boat company good providing good durable prodectread more,5,1
very nice product comfortable perfect price 999 somethings u know bluetooth version bit old mic work aux plugged issue still great pieceread more,5,1
nice product great product sound quality best colour goodread more,5,1
worth every pennyread more,5,1
i bought year ago trust mei heard headphone rangeand boat really reliablei mean gave amazing perfect like perfect basse treble melodyi using one year still like new onei suggest buy itat least worth ur tryread more,5,1
sound quality good ear paining using 20 min all super tight fit negativethe company tell tight fit enhanced bassany way nice product 47 5read more,5,1
it nice if use long time comfortable l supposedread more,5,1
i got 999rs good if cost 1000 deserve according rate 999rs good excellentread more,5,1
amazing sound quality i love read more,5,1
awesome product clear sound great bass comfortable ear longer use must buy i feel ear headphone better ear headphoneread more,5,1
product really nice good lookingthe best thing i liked good sound supressor better sound quality powerfull extra bassthe thing i like tight uncomfortable wear hour u keep adjusting timeread more,5,1
it product goodread more,5,1
nice base sound feel like greatread more,5,1
if u r music buff u need look amazing product i ever buyednyc battery backup structure sound bass everything perfectread more,5,1
great loved itread more,5,1
good product priceread more,5,1
best product reasonably competative priceread more,5,1
good productsafly orderedread more,5,1
excellent product go itread more,5,1
good heari buyed blue color nice hear fit head good one value goodread more,5,1
awesome product read more,5,1
product øsm battery backup better sound quality good buy also product ill give 5 starsread more,5,1
best oneread more,5,1
bass really good it worth money i think buy itread more,5,1
usefulread more,5,1
i using boat rockerz 400 past one year good the audible excellent watching movings moreover traveling excellentread more,5,1
fabulous productsread more,5,1
good working headphone nice read more,5,1
it nice battery backup also goodread more,5,1
awesome read more,5,1
very osm product it good sound base quality good satisfiedread more,5,1
yes good provides good bass from student giving icse 2020 board exam holy angel school rajpuraread more,5,1
wellread more,5,1
except fact mic bit less quality everything else goodread more,5,1
osm product very good quality sound bass osm loved itread more,5,1
sound quality boom bam read more,5,1
wa picking flipkart one so went boat rating quality amazing im audiophile way way better i expectedhave two skullcandy headphone cant pick better it sound little differenteasy usemic quality really good had heard ok fact really really good dont go far beyond wall adjacent room absolutely goodmy friend sold listening one theyread more,5,1
awesome headsetread more,5,1
it awesome first thanks flipkart fast delivery got withon 2 day specification al good better credit go flipkart tq dearread more,5,1
good product price r 999read more,5,1
fabulous headphonesread more,5,1
good headsetsread more,5,1
after using 56 day now ready say something boat rckrs 400 design sound qualitybass battery backup super condition we use full day charge one half 24 hour product able give full day battery life performance btry going low thn dont take tnsn able use aux cable in short product best 1499 amount go itread more,5,1
awesome read more,5,1
super sound awesome bass good dj song battery back also good i got aginst 999 r really really nice headphoneread more,5,1
very good voice i love productread more,5,1
a damn good headphone pricebass lover go brosis very much loud speaker obviously40mm driver even high volume doesnt affect damn good quality sound battery performance also mentionedmaybe 8but definitely get least 6 hour max volumecall experience good enoughyes sometimes connectivity get affected somehowbut 10 day i experienced thrice point view product ill definiteread more,5,1
excellent bass awesome sound quality battery backup terrific love boatread more,5,1
good qualityread more,5,1
good product price valuable money productread more,5,1
good productpowerful bass value moneyread more,5,1
goog productread more,5,1
best best thank sirread more,5,1
great one but i received black oneread more,5,1
really nice productread more,5,1
ok say great awesome excellent the drawback microphone cheap quality thats one now coming pro 1 dual mode usage wireless wired2 great design ear3 awesome music quality get feel thats song4 excellent bass low mids highs5 battery backup excellent 15 hour 60 volume 8 full volume6 just great price rangeread more,5,1
amazing headphonesread more,5,1
head phone best sound bestread more,5,1
it great productbut one problem sizeit little bit tighter hurt ear using timeread more,5,1
excellent productread more,5,1
i like itread more,5,1
good sound qualityread more,5,1
awosomeread more,5,1
the best ever headphone i ever bought the sound quality awesome design also cool worth every penny compared skullcandyread more,5,1
amazing nice product i love best go itread more,5,1
excellent product priceread more,5,1
outstanding sound nd bassread more,5,1
vry amazingread more,5,1
best headphone read more,5,1
it wonderful product i really enjoyed sound quality superb actually feel music feel beat well good product price really loved itread more,5,1
rockingread more,5,1
i feel like i listening coolest loudest headphone ever maderead more,5,1
best heapdphone crystle clear sound deep bass priceread more,5,1
great bass good treble fair vocal tonesbattery life good get approx 3days use 23 hr day gymbut good microphone headphone price range work fine area person side phone hear voice clearly shout lotread more,5,1
best headphone designfinishingprice crystal clear soundbass everything perfect thanks flipkart boat alsoread more,5,1
very good headphone for playing game like pubgyou easily get each every footstep with thisbut it have some sound delay with bluetooth modebut with aux cable it work perfectly finesound bass battery read more,5,1
flexible reliable sound quality awesomebuy product cz worth money amazing productread more,5,1
super class productread more,5,1
nice product nice sound nice audio nice delivery flipkart thank youread more,5,1
superb bass superb experience value money best quality headphone ever price rangebass feel vibration connectivity better farbuild quality attractiveuser experiencebest classwarning dont use riding driving cant listen vroom horn vehiclesread more,5,1
nice product read more,5,1
worthy buyinggo without doubtread more,5,1
very goooooooooooood product best qualityread more,5,1
superb product boat sound fantabulously balanced great experience buying i would say go read more,5,1
sound goodread more,5,1
it good supper bass extra soundread more,5,1
good product worth money better go black instead blue dirt seen clearlyread more,5,1
nice product fast delivery flipkart highly recommendedread more,5,1
awesome sound nice qualityread more,5,1
best sound quality i loved totally superbread more,5,1
good sound nice cool thanks flipcart good product read more,5,1
awesome headphonedont look another great i like sound qualityand bass goodread more,5,1
it ousm i highly pleased battery backup expected high sound quality much comfortable ear must buy productread more,5,1
i cant believe kind advanced feature provided boat minimum priceits cool impressive gadgeti love itread more,5,1
superb must buyread more,5,1
amazing productexcellent battery life super cool looksthe biggest advantage presence headphone jack even device battery still use wired mode no headphone support feature price rangemic average not best i used work fineread more,5,1
bass goodread more,5,1
what get best payread more,5,1
class productread more,5,1
all amazingafter using couple minute ear getting painread more,5,1
gdread more,5,1
it useful productread more,5,1
it good bassread more,5,1
first i happy deliveryand product good valueand battery backup awesome thank flipkart fastest deliveryread more,5,1
such nice product i forgot product review guy almost 1 year working well like first day nice productread more,5,1
battery backup well sound bass design cool read more,5,1
perfectly goodread more,5,1
nice huge soundread more,5,1
excellent bassread more,5,1
brilliant product super bass nice calling experience product battery drain good good work boatread more,5,1
awesome best quality best bass great batteryread more,5,1
everything goodbut tight ear using 1 hour r ear r painingread more,5,1
massive worth moneyread more,5,1
very nice product i like itread more,5,1
super read more,5,1
for price range i bought1099 headphone beastand the bass heavy built connection battery awesomebut vocal suppressed heavy base listen melody songsso melody song lover go another optionsjbl best melody bass lover definitely love and rocking music pop music dance music best optionand noice cancellation also good giread more,5,1
really good headphone i got budget sound quality awesome especially bass bass earphone totally excellentso going boat rockerz 400 youve got good choiceread more,5,1
so good read more,5,1
good quality headphone price range i got 999 big billion sale bass really good cushion could bit soft nevertheless product amazing overallread more,5,1
probably best headphone could buy price point to get best listening experience i recommend tweaking equaliser bit once got right youll never disappointed excellent battery backup coupled fair amount comfortread more,5,1
goood til nowread more,5,1
nice product in this price just awesomethankyou flipkart delivered product timeread more,5,1
it best headphone 1500 great sound quality perfect iron joint make secure headphone always break i bought 2 headphone cracked 4 month one perfectread more,5,1
nice product clear bass soundedread more,5,1
best price pointread more,5,1
very very good productread more,5,1
amazing rangeread more,5,1
nice sound quality awesome bass bt mic seemed satisfactory bt moreover grt product read more,5,1
nice delivery speedread more,5,1
good enjoyread more,5,1
music quality better headphone battery backup awesomeread more,5,1
awesome i love itread more,5,1
enjoyable product flipkart ever good speaker must buy good sound quality superrrrrrrrrr bass worth every pennysuper duper cool headphoneread more,5,1
after using headphone bass good sound quality also clear great built quality dont use rough bettary backup around 7 9 hour depends use and finally playing pubg it little bit negligible sound delay and give ear pain hour useread more,5,1
just awesomeread more,5,1
best product 999 comfortableread more,5,1
powerful battery backupread more,5,1
niceread more,5,1
awesome manso fast deliverysimply amazed switched headphone earphonesreally amazing headphone better brand priceand even wireledsomgreally good product read more,5,1
superb amazingread more,5,1
excellent product bass super duperbattery backup also goodread more,5,1
great product and color white green also great trust one great productread more,5,1
it will make u float in ur song destinationthanks for flipkart and about boat rockerz it just rockinggood bass enough sound levelfells like sitting inside theater but one thing u can not wear it for long time 4hrs continuouslycuz it will make ur ear pain and about bass sometimes u can feel that vibration in ur skull cuz that much good bassread more,5,1
it quality product light weight amazing sound quality i fully satisfied purchaseread more,5,1
bestread more,5,1
amazig ever everread more,5,1
great product boat what i liked good sound quality decent bass better jblread more,5,1
it good nice oneread more,5,1
better product good sound quality two way useable thank sellerread more,5,1
worth every rupee good clear sound quality bass trustworthy productread more,5,1
very good headphone 1000 op sound quality good and design wise looking stylish op bluetooth headsetread more,5,1
my 1st headphone purchased best ever seen base perfect just loving it read more,5,1
awesome purchaseloud bassyread more,5,1
bass910sound clearities 910build quality 710comfortable 810battery life 710inbuilt mic 510in price range you cant find bluetooth headphone better thisread more,5,1
it really cool man i say buy really cool nice battery volume design really goodread more,5,1
amazing product really set headphoneread more,5,1
amazingmind boggling stylishread more,5,1
i got 999rs awesome range it worth every penny good bass high volume song audible outside headphone it itchy sweaty summer the outer material cover ear good the build quality good adjust accordingly pushing bud downread more,5,1
mind blowing perch i bought 2 headphone 2 colour awsome sound quality value moneyread more,5,1
very nice product sound bassread more,5,1
owsome product not headphone deliver great bass also produce superior sound quality to appease audiophile look spec enhance bass work gear fit lifestyle the best headphone bass comfortable compatible convenientboat rockerz filled requirement thank u flipcartread more,5,1
good expectedread more,5,1
i bought 999 in price best bluetooth headset awesome sound quality powerful bass with noise cancellation this also aux cablefor wired wireless usagethe microphone work well but hurt little bitfriends i recommend buy product instead sonyread more,5,1
very nice good productread more,5,1
sound quality good connectivity better good range within 3 onlyit feel tight okmic work away around 1m aboveread more,5,1
belive range best bluethoot headphonebass awasome realy like thissound goodbataty good good thanks flipcartread more,5,1
good sound quality call ok battery good bass good overall goodread more,5,1
full review 2 yearsbass good sound music run greatcalling great open environment build quality good charging time 2 hr battery backup good i watched full 2 hr movie still played 3 hr extra only con tight ear may noice cancelling hurt ear u get good deal maximum 65 great dealeditafter around 23 month it sound quality newread more,5,1
nice superread more,5,1
sound quality quite goodread more,5,1
awesome product i loved itread more,5,1
nice headphone grt sound quality im much impressed connectivity iz fast battery backup iz fabulous but headband iz lill tight u cant wear long time otherwise grt product fully satisfiedread more,5,1
good productread more,5,1
excellent qualityread more,5,1
awesome product read more,5,1
all thing betterbut 1 problem calling mic capturing low sound call person hearing wellread more,5,1
my name munna sk good productread more,5,1
nice product yrrread more,5,1
awesome productread more,5,1
super bass soundread more,5,1
verry osm bass mostly best bass loversread more,5,1
best headset segment usb audio cable quality good excellent music quality worth buyread more,5,1
best quality best battery backpread more,5,1
outstanding bassread more,5,1
full day battery backupand comfortable for gameplay like pubg wireless delay sound bt wiith wired sound delay pro pubg player opinion best pubg wired read more,5,1
absolutly love one white colour look stunning becomes dirty wash cusions use battery backup excellent connect easily bluetoothread more,5,1
just speechlessread more,5,1
best headset thisread more,5,1
it good read more,5,1
best sound battery backupread more,5,1
simple word excellentread more,5,1
battery backup is ashvatthama which just denies to die straightaway 8 hour of travel couldnt end the charge and it work pretty well control are great easy and responsive a true wireless freedom 100 satisfied read more,5,1
nice hear song and moviesread more,5,1
over good product i using black clourthis gift sister read more,5,1
spectacular amazing sound battery back wull never ditch watching movie show signal phone hour draining superb headphone got 999 luv recommend reader one go giv tryread more,5,1
very good quality productread more,5,1
good well picread more,5,1
nice sound build good ear start paining listening 56 songsread more,5,1
just awesomeread more,5,1
excellent productread more,5,1
the product good using 1yearthe battery 40min standardread more,5,1
sound quality qith bass good bluetooth connectivity also good overall good product but long time use ear painread more,5,1
best headphone pricefully satisfiedread more,5,1
awesome worth thank god ive checked previous order i pay 1000 next day deal 899 im happy luckily i saved 100read more,5,1
extraordinary bass superbread more,5,1
very nice sound quality good must buyread more,5,1
i writing review 1 week use i really love product the way designed beautifully must buyread more,5,1
very good product good delivery alsoread more,5,1
nice product reasonable price good travelingi love itread more,5,1
bst headphone price worth valueread more,5,1
my product music studio sound quality best forest good itemread more,5,1
amazing bass built quality low cause lot pain ear u wear long bluetooth connectivity really fast sound quality greatmic big issue audible hearing person need play pubg mic doesnt support read more,5,1
one best headphone flipkart awesome bass good bluetooth connectivity reviee 6 month fell many time but still strong break go itread more,5,1
this awesome prodectread more,5,1
durable use anywhere sound system delightful soothing good battery backup aswellalmost last 56 hrsread more,5,1
this phone best range i say buy head phoneread more,5,1
good product sound good design good over good daily use battery backup also goodread more,5,1
i got just r 964 on offer so value money give satisfaction product worth 1500 so happy headset recommendedread more,5,1
great thing budgetread more,5,1
it awesome product price range you never feel guilty buying product satisfied productread more,5,1
i saying using product 45 day bit tight like cantinfact use 30 min fit good design awesome sound quality fabulous bass also good i strongly recommend product like listen music goread more,5,1
best headphone price rangebest sound qualitybest battery backupbest bass qualityoverall excellent productyou buy without doubtvalue moneyread more,5,1
really osmread more,5,1
go good one best price on offer 999read more,5,1
super bassread more,5,1
sound good go read more,5,1
audio45building q55battry55butafter 1hr ear will happens pain because of matressesread more,5,1
very awasome productread more,5,1
outstanding hedsetread more,5,1
highly recommended thisawesomeread more,5,1
good product read more,5,1
osmworkread more,5,1
aftr one year work amazing nice sound quality bassread more,5,1
if budget low need premium quality headphone go read more,5,1
it nice product coming form boasound quality absolutely goodread more,5,1
very good productread more,5,1
the sound quality excellentthis good headphoneread more,5,1
best headphonegood battery backuplight weightbass goodi got 1000 design quality gudread more,5,1
good quality product worth moneyread more,5,1
a expected excellent audio quality the overall experience wa also too goodread more,5,1
amazing read more,5,1
i love read more,5,1
this headphone awesome value moneyand good qualityread more,5,1
it awsomeread more,5,1
i liked it much and delivery good situation corona time delivery fastit arrived expectedread more,5,1
good quality light weight ossum base it boat experienceread more,5,1
great sound quality bass good bluetooth connectivity range good but overall great i always prefer indian brandsboat one though made chinabut mumbai based startup company great workafter 1 year usagei completely satisfiedread more,5,1
the product wowread more,5,1
average product average volume good badread more,5,1
quality headphone under range rs1000read more,5,1
great awesomeread more,5,1
